Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A68J,20,3,-56.16,-35.55,belle,2/19/2021
A68K,10,2,-55.47,-34.42,belle,2/19/2021
A68M,20,4,-56.77,-35.33,belle,2/19/2021
A68N,10,2,-56.01,-35.94,belle,2/19/2021
A68O,3,2,-55.92,-35.16,belle,2/19/2021
A68P,15,2,-56.12,-35.5,belle,2/19/2021
A69A,10,9,-67.88,-60.92,belle,2/19/2021
A69B,10,7,-67.48,-61.11,belle,2/19/2021
A70,8,5,-72.28,-59.6,belle,2/19/2021
A71,8,3,-72.36,-59.52,belle,2/19/2021
A72,11,4,-69.5,-60.82,belle,2/19/2021
A73,9,5,-69.59,-60.31,belle,2/19/2021
B09B,24,8,-66.25,143.4,wilke,2/19/2021
B09G,11,7,-67.93,41.58,amerw (grounded),2/19/2021
B09I,12,6,-70.06,-42.33,belle,2/19/2021
B15AB,11,4,-66.04,51.06,amerw (grounded),2/19/2021
B22A,38,24,-73.92,-109.37,amune (grounded),2/19/2021
B28,9,6,-74.67,-108.77,amune (grounded),2/19/2021
B29,11,5,-74.51,-108.91,amune (grounded),2/19/2021
B37,8,3,-72.62,-111.78,amune,2/19/2021
B38,6,4,-77,-155.03,rosse (grounded),2/19/2021
B39,8,4,-66.6,47.37,amerw,2/19/2021
B40,6,5,-65.66,132.22,wilke (grounded),2/19/2021
B42,12,4,-72.75,-126.24,amunw (grounded),2/19/2021
B45,7,6,-74.69,-109.34,amune (grounded),2/19/2021
B46,10,4,-72.57,-111.47,amune,2/19/2021
B47,12,5,-73.8,-133.84,amunw (grounded),2/19/2021
B50,15,6,-73.97,-140.39,amunw,2/19/2021
C15,12,8,-65.97,143.27,wilke,2/19/2021
C18B,19,4,-64.33,98,wilkw,2/19/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),2/19/2021
C24,11,2,-64.84,96.02,wilkw (grounded),2/19/2021
C29,5,5,-66.11,142.9,wilke,2/19/2021
C30,9,3,-64.78,96.3,wilkw (grounded),2/19/2021
C31,9,3,-64.69,96.51,wilkw (grounded),2/19/2021
C33,8,4,-65.46,126.78,wilke,2/19/2021
C35,7,5,-68.04,147.82,wilke,2/19/2021
C36,22,15,-67.93,147.48,wilke,2/19/2021
D15A,51,24,-66.65,81.92,amere (grounded),2/19/2021
D15B,33,12,-66.99,81.57,amere (grounded),2/19/2021
D20A,19,9,-68.65,36.26,amerw (grounded),2/19/2021
D21B,10,4,-60.63,-31.05,belle,2/19/2021
D23,8,6,-69.43,74.66,amere (grounded),2/19/2021
D26,19,2,-69.36,29.4,wedde (grounded),2/19/2021
D27,8,5,-67.79,78.28,amere,2/19/2021
D28,29,19,-66.18,49.33,amerw,2/19/2021
A23A,40,34,-75.69,-39.99,belle,2/26/2021
A63,11,3,-71.07,-55.6,belle,2/26/2021
A64,13,9,-68.9,-60.62,belle,2/26/2021
A68A,29,10,-56.53,-33.12,belle,2/26/2021
A68G,25,3,-56.17,-36.25,belle,2/26/2021
A68H,11,4,-53.55,-36.29,belle,2/26/2021
A68I,4,2,-52.75,-34.63,belle,2/26/2021
A68J,20,3,-55.69,-34.65,belle,2/26/2021
A68M,20,4,-56.78,-34.88,belle,2/26/2021
A68N,8,2,-55.8,-34.48,belle,2/26/2021
A68P,6,2,-55.66,-34.84,belle,2/26/2021
A69A,10,9,-67.94,-61.11,belle,2/26/2021
A69B,10,7,-67.38,-61.15,belle,2/26/2021
A70,8,5,-71.78,-59.47,belle,2/26/2021
A71,8,3,-71.92,-59.69,belle,2/26/2021
A72,3,3,-69.16,-60.68,belle,2/26/2021
A73,9,5,-69.04,-60.17,belle,2/26/2021
B09B,24,8,-66.29,143.44,wilke,2/26/2021
B09G,11,7,-68,41.78,amerw,2/26/2021
B09I,12,6,-69.9,-42.52,belle,2/26/2021
B15AB,11,4,-66.04,51.07,amerw (grounded),2/26/2021
B22A,38,24,-73.92,-109.37,amune (grounded),2/26/2021
B28,9,6,-74.67,-108.77,amune (grounded),2/26/2021
B29,11,5,-74.51,-108.91,amune (grounded),2/26/2021
B37,8,3,-72.6,-111.88,amune,2/26/2021
B38,6,4,-76.99,-154.99,rosse,2/26/2021
B39,8,4,-66.73,46.75,amerw,2/26/2021
B40,6,5,-65.66,132.22,wilke (grounded),2/26/2021
B42,12,4,-72.73,-126.55,amunw,2/26/2021
B45,7,6,-74.69,-109.34,amune (grounded),2/26/2021
B46,10,4,-72.51,-112.09,amune,2/26/2021
B47,12,5,-73.8,-133.84,amunw (grounded),2/26/2021
B50,15,6,-74.05,-141.44,amunw,2/26/2021
C15,12,8,-65.98,143.3,wilke,2/26/2021
C18B,19,4,-64.38,96.02,wilkw,2/26/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),2/26/2021
C24,11,2,-64.84,96.02,wilkw (grounded),2/26/2021
C29,5,5,-66.19,143.12,wilke,2/26/2021
C30,9,3,-64.78,96.3,wilkw (grounded),2/26/2021
C31,9,3,-64.69,96.51,wilkw (grounded),2/26/2021
C33,8,4,-65.45,126.78,wilke,2/26/2021
C35,7,5,-68.05,147.85,wilke,2/26/2021
C36,22,15,-67.94,147.48,wilke,2/26/2021
D15A,51,24,-66.64,81.91,amere (grounded),2/26/2021
D15B,33,12,-66.99,81.58,amere (grounded),2/26/2021
D20A,19,9,-68.65,36.26,amerw (grounded),2/26/2021
D21B,10,4,-60.52,-30.79,belle,2/26/2021
D23,8,6,-69.43,74.66,amere (grounded),2/26/2021
D26,19,2,-69.36,29.4,wedde (grounded),2/26/2021
D27,8,5,-68.21,77.42,amere,2/26/2021
D28,29,19,-66.29,48.28,amerw,2/26/2021
A23A,40,34,-75.7,-39.88,belle,3/5/2021
A63,11,3,-70.79,-55.9,belle,3/5/2021
A64,12,8,-68.64,-60.48,belle,3/5/2021
A68A,28,10,-56.36,-33.1,belle,3/5/2021
A68G,13,3,-55.56,-36.57,belle,3/5/2021
A68H,9,3,-53.41,-36.59,belle,3/5/2021
A68J,13,3,-54.93,-34.11,belle,3/5/2021
A68M,13,3,-56.97,-35.31,belle,3/5/2021
A69A,10,9,-67.82,-61.14,belle,3/5/2021
A69B,10,7,-67.33,-61.05,belle,3/5/2021
A70,8,5,-71.55,-59.6,belle,3/5/2021
A71,8,3,-71.72,-59.78,belle,3/5/2021
A73,5,4,-68.71,-59.99,belle,3/5/2021
A74,30,18,-75.22,-25.78,belle,3/5/2021
B09B,24,8,-66.29,143.44,wilke,3/5/2021
B09G,11,7,-68.06,41.76,amerw,3/5/2021
B09I,12,6,-69.78,-43.18,belle,3/5/2021
B15AB,11,4,-66.02,51.1,amerw (grounded),3/5/2021
B22A,38,24,-73.92,-109.37,amune (grounded),3/5/2021
B28,9,6,-74.67,-108.77,amune (grounded),3/5/2021
B29,11,5,-74.51,-108.91,amune (grounded),3/5/2021
B37,8,3,-72.6,-111.88,amune,3/5/2021
B38,6,4,-76.99,-155.01,rosse,3/5/2021
B39,8,4,-66.94,45.49,amerw,3/5/2021
B40,6,5,-65.65,132.18,wilke (grounded),3/5/2021
B42,12,4,-72.72,-126.59,amunw,3/5/2021
B45,7,6,-74.69,-109.34,amune (grounded),3/5/2021
B46,10,4,-72.51,-112.17,amune,3/5/2021
B47,12,5,-73.8,-133.84,amunw (grounded),3/5/2021
B50,15,6,-74.25,-142,amunw,3/5/2021
C15,12,8,-65.98,143.29,wilke,3/5/2021
C18B,19,4,-64.77,94.09,wilkw,3/5/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),3/5/2021
C24,11,2,-64.84,96.02,wilkw (grounded),3/5/2021
C29,5,5,-66.14,143.01,wilke,3/5/2021
C30,9,3,-64.78,96.3,wilkw (grounded),3/5/2021
C31,9,3,-64.69,96.51,wilkw (grounded),3/5/2021
C33,8,4,-65.44,126.7,wilke,3/5/2021
C35,7,5,-68.01,147.92,wilke,3/5/2021
